series_id,window_idx,window_start,window_end,timestamp_start,timestamp_end,attention_fingerprint,n_row_labels,n_token_labels,target_query_label,top_source_label,top_source_attention,time_attn_shape,group_attn_shape
load_26,82,1968,1992,2013-05-02 00:00:00,2013-05-02 23:00:00,8af1fe9ce0e1e830,71,14,target,target,0.030531292781233788,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,83,1992,2016,2013-05-03 00:00:00,2013-05-03 23:00:00,ab61197fc927e186,71,14,target,target,0.02760380133986473,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,84,2016,2040,2013-05-06 00:00:00,2013-05-06 23:00:00,6ae9facc27476a5c,71,14,target,target,0.027306746691465378,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,85,2040,2064,2013-05-07 00:00:00,2013-05-07 23:00:00,dd2141ca3efa9fbe,71,14,target,target,0.02850564382970333,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,86,2064,2088,2013-05-08 00:00:00,2013-05-08 23:00:00,7ca61ca1a023f802,71,14,target,target,0.02721565216779709,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,87,2088,2112,2013-05-09 00:00:00,2013-05-09 23:00:00,d826cb08c311eefe,71,14,target,target,0.026059133931994438,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,88,2112,2136,2013-05-10 00:00:00,2013-05-10 23:00:00,b15527681e2b5349,71,14,target,target,0.027743827551603317,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,89,2136,2160,2013-05-13 00:00:00,2013-05-13 23:00:00,935f8f1d6a50e66b,71,14,target,target,0.026417694985866547,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,90,2160,2184,2013-05-14 00:00:00,2013-05-14 23:00:00,381573b68fae740a,71,14,target,target,0.027789702638983727,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,91,2184,2208,2013-05-15 00:00:00,2013-05-15 23:00:00,a85fe237eb2d9d84,71,14,target,target,0.028065277263522148,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,92,2208,2232,2013-05-16 00:00:00,2013-05-16 23:00:00,0c3da4daea22d2f6,71,14,target,target,0.02682308480143547,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
